path,size_bytes,mtime,extension,duration_seconds,bitrate,tags_json,has_cover_art,scanned_at
C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\217HALO - Golden Hour.mp3,6287087,1782294934.9868112,.mp3,196,256000,"{""title"": ""217HALO - Golden Hour [Official Music Video]"", ""artist"": ""divaria"", ""date"": ""2026-04-21 13:17:00"", ""year"": ""2026""}",yes,1783686218.5705519
C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238500.mp3,7468076,1782295093.0750394,.mp3,185,320000,"{""title"": ""2 People - Highpass Deep Mix"", ""artist"": ""Navara"", ""album"": ""2 People"", ""track_number"": ""1"", ""disc_number"": ""1""}",yes,1783686218.5751677
C:\Users\spicy\Documents\projects\smc\ds-local hero\tag_creator\test_media\free_ai_5\217HALO - Golden Hour.mp3,6287087,1782294934.9868112,.mp3,196,256000,"{""title"": ""217HALO - Golden Hour [Official Music Video]"", ""artist"": ""divaria"", ""date"": ""2026-04-21 13:17:00"", ""year"": ""2026""}",yes,1784101043.9817078
C:\Users\spicy\Documents\projects\smc\ds-local hero\tag_creator\test_media\free_ai_5\238500.mp3,7468076,1782295093.0750394,.mp3,185,320000,"{""title"": ""2 People - Highpass Deep Mix"", ""artist"": ""Navara"", ""album"": ""2 People"", ""track_number"": ""1"", ""disc_number"": ""1""}",yes,1784101043.9837697
C:\Users\spicy\Documents\projects\smc\ds-local hero\tag_creator\test_media\free_ai_5\238501.mp3,4941666,1782295148.6165445,.mp3,122,320000,"{""title"": ""Acapulco"", ""artist"": ""Niklas Dee, RushLow, J R"", ""album"": ""Acapulco"", ""track_number"": ""1"", ""disc_number"": ""1""}",yes,1784101043.9859328
C:\Users\spicy\Documents\projects\smc\ds-local hero\tag_creator\test_media\free_ai_5\238502.mp3,5548022,1782295197.4810164,.mp3,137,320000,"{""title"": ""Addicted To Your Love"", ""artist"": ""MRLN, Robbie Hutton, Anzo Gronso"", ""album"": ""Addicted To Your Love"", ""track_number"": ""1"", ""disc_number"": ""1""}",yes,1784101043.9880106
C:\Users\spicy\Documents\projects\smc\ds-local hero\tag_creator\test_media\free_ai_5\238503.mp3,7228494,1782295309.08775,.mp3,180,320000,"{""title"": ""Afterglow"", ""artist"": ""Hitkend House Lab, KASB"", ""album"": ""Afterglow"", ""track_number"": ""1"", ""disc_number"": ""1""}",yes,1784101043.9892957
