filename,file_path,status,written_fields,missing_required,providers_used,error,title,artist,album,album_artist,year,date,genre,track_number,disc_number,composer,publisher,copyright,bpm,isrc,comment,lyrics,label,catalog_number,has_cover_art,cover_art_url,field_confidence_json,notes
217HALO - Golden Hour.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\217HALO - Golden Hour.mp3,no_change,,album; genre; track_number; disc_number,,,217HALO - Golden Hour [Official Music Video],divaria,,,2026,2026-04-21 13:17:00,,,,,,,,,,,,,yes,,"{""title"": 0.7, ""artist"": 0.7, ""date"": 0.7, ""year"": 0.7}","musicbrainz: rejected low local similarity title=0.70, artist=0.17, api=0.88"
238500.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238500.mp3,no_change,,year; genre,,,2 People - Highpass Deep Mix,Navara,2 People,,,,,1,1,,,,,,,,,,yes,,"{""title"": 0.7, ""artist"": 0.7, ""album"": 0.7, ""track_number"": 0.7, ""disc_number"": 0.7}","musicbrainz: rejected low local similarity title=0.70, artist=0.33, api=0.74"
