filename,file_path,status,written_fields,missing_required,providers_used,error,title,artist,album,album_artist,year,date,genre,subgenre,mood,moods,energy,valence,danceability,key,language,instruments,vocals,themes,occasion,weather,season,age_group,track_number,disc_number,composer,publisher,copyright,bpm,isrc,comment,lyrics,label,catalog_number,has_cover_art,cover_art_url,analysis_summary,analysis_json,field_confidence_json,field_sources_json,hybrid_stage_summary,notes
217HALO - Golden Hour.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\217HALO - Golden Hour.mp3,dry_run_done,,album; genre; subgenre; mood; bpm; key; language; track_number; disc_number,itunes; local_cleanup,,Golden Hour,217HALO,,,2026,2026-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"{""title"": 1.0, ""artist"": 1.0, ""date"": 0.76, ""year"": 1.0, ""album"": 0.608, ""album_artist"": 0.608, ""genre"": 0.608, ""track_number"": 0.608, ""disc_number"": 0.608, ""cover_art_url"": 0.608}","{""title"": ""itunes, local_cleanup"", ""artist"": ""itunes, local_cleanup"", ""date"": ""existing_file_tag"", ""year"": ""existing_file_tag, itunes""}","stage0_prepare=local_cleanup; stage1_free=deezer,itunes,musicbrainz,wikidata; stage2_web=web_discovery","local_cleanup: stage0_prepare: parsed artist/title from filename; itunes: stage1_free: Apple iTunes Search API; title_similarity=1.00; artist_similarity=1.00; deezer: stage1_free: no match; wikidata: stage1_free: no match; musicbrainz: stage1_free: rejected low local similarity title=1.00, artist=0.19, api=1.00; web_discovery: stage2_web: no allowed web metadata found; conflict on title: Golden Hour (1.11), 217HALO - Golden Hour [Official Music Video] (0.76); conflict on artist: 217HALO (1.11), divaria (0.76); conflict on date: 2026-04-21 (0.76), 2026-04-21T12:00:00Z (0.61)"
238500.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238500.mp3,no_change,,year; genre; subgenre; mood; bpm; key; language,local_cleanup,,2 People - Highpass Deep Mix,Navara,2 People,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,yes,,,,"{""title"": 0.76, ""artist"": 0.76, ""album"": 0.76, ""track_number"": 0.76, ""disc_number"": 0.76}","{""title"": ""existing_file_tag"", ""artist"": ""existing_file_tag"", ""album"": ""existing_file_tag"", ""track_number"": ""existing_file_tag"", ""disc_number"": ""existing_file_tag""}","stage0_prepare=local_cleanup; stage1_free=deezer,itunes,musicbrainz,wikidata; stage2_web=web_discovery","local_cleanup: stage0_prepare: parsed artist/title from embedded title; itunes: stage1_free: rejected low similarity title=0.24, artist=0.00; deezer: stage1_free: rejected low similarity title=0.24, artist=0.00; wikidata: stage1_free: no match; musicbrainz: stage1_free: rejected low local similarity title=0.70, artist=0.14, api=1.00; web_discovery: stage2_web: no allowed web metadata found; conflict on title: 2 People - Highpass Deep Mix (0.76), Highpass Deep Mix (0.50); conflict on artist: Navara (0.76), 2 People (0.50)"
