filename,file_path,status,written_fields,missing_required,providers_used,error,title,artist,album,album_artist,year,date,genre,subgenre,mood,moods,energy,valence,danceability,key,language,instruments,vocals,themes,occasion,weather,season,age_group,track_number,disc_number,composer,publisher,copyright,bpm,isrc,comment,lyrics,label,catalog_number,has_cover_art,cover_art_url,analysis_summary,analysis_json,field_confidence_json,field_sources_json,hybrid_stage_summary,notes
217HALO - Golden Hour.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\217HALO - Golden Hour.mp3,no_change,,album; genre; subgenre; mood; bpm; key; language; track_number; disc_number,,,217HALO - Golden Hour [Official Music Video],divaria,,,2026,2026-04-21 13:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,"{""title"": 0.76, ""artist"": 0.76, ""date"": 0.76, ""year"": 0.76}","{""title"": ""existing_file_tag"", ""artist"": ""existing_file_tag"", ""date"": ""existing_file_tag"", ""year"": ""existing_file_tag""}","stage1_free=deezer,itunes,musicbrainz,wikidata; stage2_web=web_discovery","itunes: stage1_free: no match; deezer: stage1_free: no match; wikidata: stage1_free: no match; musicbrainz: stage1_free: rejected low local similarity title=0.70, artist=0.17, api=0.88; web_discovery: stage2_web: no allowed web metadata found"
238500.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238500.mp3,dry_run_done,,genre; subgenre; mood; bpm; key; language,deezer; itunes,,2 People (Highpass Deep Mix),Navara,2 People,Navara,2020,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,yes,,,,"{""title"": 1.0, ""artist"": 1.0, ""album"": 1.0, ""track_number"": 1.0, ""disc_number"": 1.0, ""album_artist"": 1.0, ""year"": 1.0, ""date"": 0.608, ""genre"": 0.608, ""cover_art_url"": 0.608}","{""title"": ""deezer, itunes"", ""artist"": ""deezer, existing_file_tag, itunes"", ""album"": ""deezer, existing_file_tag"", ""track_number"": ""existing_file_tag, itunes"", ""disc_number"": ""existing_file_tag, itunes"", ""album_artist"": ""deezer, itunes"", ""year"": ""deezer, itunes""}","stage1_free=deezer,itunes,musicbrainz,wikidata; stage2_web=web_discovery","itunes: stage1_free: Apple iTunes Search API; title_similarity=0.70; artist_similarity=1.00; deezer: stage1_free: Deezer public API; title_similarity=0.70; artist_similarity=1.00; wikidata: stage1_free: no match; musicbrainz: stage1_free: rejected low local similarity title=0.70, artist=0.33, api=0.74; web_discovery: stage2_web: no allowed web metadata found; conflict on album: 2 People (1.31), 2 People - Single (0.61); conflict on date: 2020-05-13T12:00:00Z (0.61), 2020-05-13 (0.55); conflict on genre: House (0.61), Electro (0.55); conflict on cover_art_url: https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/c9/95/ac/c995acab-5ab0-2fab-1860-70337eb58b06/cover.jpg/600x600bb.jpg (0.61), https://cdn-images.dzcdn.net/images/cover/6dfba700623f9a9234ff6111a861dd4d/1000x1000-000000-80-0-0.jpg (0.55)"
