filename,file_path,status,written_fields,missing_required,providers_used,error,title,artist,album,album_artist,year,date,genre,track_number,disc_number,composer,publisher,copyright,bpm,isrc,comment,lyrics,label,catalog_number,has_cover_art,cover_art_url,field_confidence_json,notes
217HALO - Golden Hour.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\217HALO - Golden Hour.mp3,dry_run_done,,genre; track_number; disc_number,musicbrainz,,Divaria,Daz Nuance,Daz goes Jaz,Daz Nuance,2026,2026-04-21 13:17:00,,,,,,,,,,,,,yes,,"{""title"": 0.882, ""artist"": 0.882, ""album"": 0.882, ""album_artist"": 0.882, ""date"": 0.7, ""year"": 0.7}",musicbrainz: score 1.00
238500.mp3,C:\Users\spicy\Documents\projects\smc\ds-local hero\ftp_downloads\mp3\238500.mp3,dry_run_done,,genre,musicbrainz,,Navara,Power Nap,Shaped Canvas,Power Nap,2019,2019-07-30,,1,1,,,,,,,,,,yes,,"{""title"": 0.882, ""artist"": 0.882, ""album"": 0.882, ""album_artist"": 0.882, ""year"": 0.882, ""date"": 0.882, ""track_number"": 0.7, ""disc_number"": 0.7}",musicbrainz: score 1.00
